agency,description,name,price
United Country Re Az Life Homes & Land,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '640'}",1349 N Cortez Circle Tombstone Territory Estates Unit 1,"$179,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,831'}",6673 W Gleeson Rd  ,"$699,999"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,231'}",1212 Toughnut St Out Of Pima County,"$194,500"
Exp Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,007'}",24112 S 201st Place Pecans Phase 3,"$1,899,000"
Homesmart,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,294'}",32541 N Thompson Road Chandler Heights Ranches,"$1,895,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,269'}",19727 E Vallejo Street Whitewing At Whisper Ranch,"$1,850,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,403'}",4950 Black Mountain Road Black Mountain Ranches,"$1,250,000"
Ferris Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,392'}",21258 E Orion Way Pegasus Airpark Unit 1,"$1,800,000"
Tinzie Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,717'}",2860 W Percheron Road Saddle Ridge West,"$1,200,000"
Exp Realty,"{'Beds': '6', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,007'}",24403 S 201st Court Pecans Phase 3,"$1,800,000"
Century 21 Arizona West,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,023'}",1300 S Kellis Road Turtleback Mountain Ranch,"$1,199,000"
Exp Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,250'}",19651 E Country Meadows Drive Sonoqui Creek Ranch Phase 2,"$1,799,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,320'}",1310 Kenrick Drive N/A,"$1,098,000"
Exp Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,991'}",20646 E Superstition Drive Ellsworth Suburban,"$1,790,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,630'}",1650 Hillside Drive Wickenburg Country Club Acres,"$1,065,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '4,130'}",18817 E Pegasus Parkway Chandler Hts Citrus Tr,"$1,700,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,978'}",1415 Villa Del Norte Monte Vista Ranch Phase 2A Replat,"$995,000"
Launch Powered By Compass,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,946'}",20643 E Marsh Road Bridle Ranch,"$1,699,000"
Century 21 Arizona West,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,198'}",4255 Leaf Spring Drive Wickenburg Ranch,"$975,500"
RE/MAX Alliance Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,168'}",17973 E Bronco Drive Dorada Estates Amd,"$1,649,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,741'}",35100 S Antelope Creek Road Vista Royale Phase 3,"$960,000"
Toll Brothers Real Estate,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,445'}",24579 S 199th Place Whitewing At Whisper Ranch,"$1,599,995"
"Highlands Realty West, Llc","{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,340'}",3273 Prospector Way Wickenburg Ranch,"$960,000"
San Tan Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,405'}",34312 N Bell Road No Hoa 5 Bdrm 3 Ba Single Level With Huge Detached Shop/Garage Over 2.5 Acres,"$1,599,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,413'}",4169 Fence Post Way Trilogy At Wickeburg Ranch,"$957,899"
Sands Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,220'}",140 Garden St Fleurys Add,"$725,000"
Century 21 Arizona West,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,350'}",2800 N Silver Spur Drive Saddle Ridge West Phase 1,"$957,000"
RE/MAX Mountain Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,377'}",3265 Sunflower Dr Sandretto Hills Estates,"$499,900"
Platinum Living Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,293'}",35400 S Turtle Creek Road --,"$950,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,792'}",180 Northview St Pine Lakes,"$225,000"
Keller Williams Arizona Realty,"{'Beds': '5', 'Baths': '2 F 2 3/4 1 1/2', 'Sq.Ft.': '5,555'}",1357 Autumn Heritage Unit 3 Phase 1,"$2,900,000"
Real Estate Investment Opportu,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,000'}",2360 W Branding Iron Trl Equestrian Estates,"$245,000"
Exp Realty- Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,836'}",1661 Granite Springs Dr Granite Springs By Crystal Creek,"$650,000"
Flex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,594'}",1384 Warbler Way Way Saddlewood,"$469,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,281'}",3824 Blazing Ore Trl Granite Dells Estates Phase 2A & 2B,"$920,000"
Keller Williams Realty Phoenix,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,916'}",2242 W Charteroak Dr Royal Oaks 4,"$730,000"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '1,536'}",1418 Haisley Ct Haisley Homestead Townhouse Condominium,"$429,900"
Platinum Living Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,101'}",1601 Rustling Wind Place Cloudstone 1,"$675,000"
Exp Realty- Prescott,"{'Beds': '3', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '1,845'}",5028 Spring Garden Ln Walden Ranch,"$625,000"
"Long Realty Tubac, Rio Rico, N","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,103'}",53 Circulo De Prado Tubac Valley Country Club Estates,"$550,000"
"Long Realty Tubac, Rio Rico, N","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,786'}",115 Powell Court Barrio Trails Head,"$495,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,800'}",64 Acacias Ct Tubac Golf Resort Development,"$558,007"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,800'}",74 Sahuaro Ct Tubac Golf Resort Development,"$549,289"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,346'}",80 Sahuaro Ct  ,"$661,286"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,346'}",72 Sahuaro Ct Tubac Golf Resort Development,"$647,236"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,631'}",5 Santa Cruz Ct Palo Parado Estates,"$599,000"
Realty Executives Arizona Territory,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,093'}",1309 Golden Gate Way Barrio Embarcadero,"$299,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,471'}",34 Circulo Diego Rivera Barrio Cielito Lindo De Tubac,"$412,000"
Long Realty Company,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,853'}",4 Coronel Ct Tubac Valley Vistas,"$599,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,695'}",4 Circulo Bautista Tubac Rio Cruz,"$1,256,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,706'}",105 Calle Frida Kahlo Barrio Cielito Lindo De Tubac,"$427,000"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11458 W Camden Drive Ridgeview,"$383,900"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11461 W Camden Drive Ridgeview,"$381,900"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11533 W Cumberland Drive Ridgeview,"$375,900"
Arizona Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,714'}",11582 W Cinnabar Avenue Agua Fria Ranch,"$365,900"
RE/MAX Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,245'}",11545 W Cinnabar Avenue Agua Fria Ranch Phase 3,"$355,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,280'}",11236 W Nebraska Avenue Young Town Plat 4,"$350,000"
Listed Simply,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,270'}",11208 W Ohio Avenue Youngtown Plat 4 Lots 595-601,"$349,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,012'}","11360 N 114th Avenue Youngtown Plat 3 Lots 460-481, 501-539","$334,999"
Realty Executives,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,111'}",11317 W Connecticut Avenue Youngtown Plat 2 Lots 131-203 & Tr D,"$329,900"
West Usa Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,051'}",11553 W Purdue Avenue Agua Fria Ranch,"$319,500"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,682'}",6041 N 186th Avenue Clearwater Farms Estates,"$859,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,616'}","7835 N 181st Avenue Romola 42 Blks 4525-4539, 4556-4571","$849,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,938'}",14435 W Cochise Drive Unknown,"$825,000"
Realty Executives,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,070'}",8222 N 178th Avenue Crystal Springs Estates Unit One,"$810,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,227'}","6128 N 183rd Avenue Romola 46 Blks 4900-4907, 4924-4937, 4954-4961","$800,000"
RE/MAX Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,790'}",7801 N 181st Avenue Romola Of Arizona Grape Fruit Unit No. 42 Resubdiv,"$779,900"
Alta Vista Llc,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,855'}",17250 W Loma Lane Granite Vista Phase 1C,"$700,260"
Realty Executives,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,858'}",17287 W El Caminito Drive Granite Vista Phase 1D,"$699,500"
Alta Vista Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,541'}",17159 W Loma Lane Granite Vista Phase 1C,"$654,270"
"Offerpad Brokerage, Llc","{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '4,067'}",8707 N 182nd Lane White Tank Foothills Parcel 6,"$640,000"
Alta Vista Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,134'}",17322 W Loma Lane Granite Vista Phase 1C,"$625,940"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,510'}",8400 N 186th Avenue White Tank Foothills Parcel 16,"$599,995"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,000'}",12007 W Southern Avenue Meets N Bounds,"$1,600,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,048'}",6616 S 121st Avenue Holly Acres,"$1,150,000"
Realty One Group,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,793'}",6023 S 115th Avenue Unknown,"$690,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,563'}",5745 S 129th Avenue None,"$650,000"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,336'}",4212 S 104th Lane Sunset Farms Unit 1,"$588,000"
Hague Partners,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,053'}",10505 W Illini Street Lions Gate,"$570,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,457'}",2814 S 108th Drive N2(Less Th N 25F) Of W2 Of Fol Desc Prop E320 W 1948F N2ne4 Ex N 33F,"$550,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,015'}",12230 W Miami Street Cantada Ranch,"$530,000"
Homesmart,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '5,504'}",401 W East Street Queen Creek Addition,"$374,900"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,131'}",9567 W Illini Street Jacquelynn Ranch,"$529,990"
Dalton Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,158'}",277 N Kellner Avenue Northside Add To Superior,"$349,500"
Lennar Sales Corp,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,468'}",10916 W Trumbull Road Verde Trails Parcels 1 & 2,"$519,990"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,036'}",397 N Lobb Avenue Addition To Superior Townsite,"$295,000"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,131'}",3637 S 97th Lane Jacquelynn Ranch,"$514,990"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,525'}",4124 S 96th Lane Sunset Farms,"$514,900"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,476'}",65 W Sunset Drive Palo Verde Heights No Two,"$289,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '906'}",219 W Sunset Drive Smith-O'donnell Tract,"$275,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,395'}",339 W Palo Verde Drive Monte Vista Subdivision,"$250,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,080'}",833 W Spray Street S3 T2s R12e,"$250,000"
Exp Realty,"{'Beds': '4', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,333'}",71 W Copper Street S35 T1s R12e,"$240,000"
Dalton Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,148'}",1044 S Western Avenue Belmont Addition,"$225,000"
Gentry Real Estate,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,206'}",584 W Gibbs Street Belmont Addition,"$215,000"
RE/MAX Alliance Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,433'}",98 W Smock Avenue Palo Verde Heights 3,"$210,000"
Exp Realty,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '720'}",939 S Church Avenue Belmont Addition,"$160,000"
Realty One Group,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '6,968'}",12802 S 71st Street Tally-Ho Farms,"$3,350,000"
Homesmart,"{'Beds': '8', 'Baths': '5', 'Sq.Ft.': '4,102'}",115 W 10th Street 10Th & Ash Place Condos,"$2,595,000"
Azarchitecture/Jarson & Jarson,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,553'}",221 E 14th Street University Park Addition,"$2,440,000"
Realty One Group,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '5,137'}",2181 E La Vieve Lane Circle G Ranches 4-3 Amd,"$1,750,000"
Visionary Properties,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,475'}",928 E La Vieve Lane Tempe Custom Homes,"$1,590,000"
Coldwell Banker Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,174'}",9338 S Stanley Place Corona Ranch Lot 1-43 Tr A-C,"$1,275,000"
Dpr Realty Llc,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,475'}",140 E Rio Salado Parkway #310 Bridgeview At Hayden Ferry Lakeside,"$1,200,000"
Coldwell Banker Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,581'}",28430 N 157 Avenue Saguaro Views (Hollow Way Estates),"$2,500,000"
Launch Powered By Compass,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,952'}",140 E Rio Salado Parkway #106 Bridgeview At Hayden Ferry Lakeside Condominium Am,"$1,147,000"
Exp Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,114'}",29537 N 155th Avenue None,"$2,489,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,867'}",9254 S Poplar Street Corona Del Sol Estates,"$949,900"
RE/MAX Desert Showcase,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,479'}",17432 W Montpelier Street Sterling Grove,"$1,799,000"
Jason Mitchell Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,289'}",12769 E Hartshorn Rancho Del Lago (Blk44),"$375,000"
Prestige Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '2,960'}",3924 S Kyrene Road Coyote Crossing,"$929,000"
"Weichert, Realtors - Rattler","{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,479'}",11835 N Casa Dega Drive Toll At Prasada Phase 2 Unit P,"$1,500,000"
Pepper Viner Management Co. Ii Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,955'}",9885 S Rolling Water Dr  ,"$544,900"
"Weichert, Realtors - Courtney Valleywide","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,018'}",314 E Del Rio Drive Carriage Lane,"$870,000"
Lake Pleasant Real Estate,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,727'}",11873 N San Clemente Street Toll At Prasada Phase 1 Unit A,"$1,500,000"
Richmond American Homes Of Az,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,633'}",10244 S Rolling Water Dr Riverwalk At Rancho Del Lago,"$481,096"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,798'}",2617 S Forest Avenue Alameda Estates,"$834,999"
Homesmart,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,743'}",17191 W San Marcos Street Toll At Prasada Phase 1 Unit A,"$1,400,000"
Pepper Viner Management Co. Ii Llc,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,479'}",10025 S S Rolling Water Rd  ,"$594,900"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,219'}",14624 W Hedgehog Place Meets And Bounds,"$1,297,000"
Tierra Antigua Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,506'}",267 S Atlanta St New Tucson Unit No. 4 (1-203),"$325,000"
Toll Brothers Real Estate,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,178'}",17216 W Mountainair Street Toll At Prasada Phase 1 Unit B,"$1,205,995"
Long Realty Company,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,579'}",13697 E Shadow Pines Ln Rancho Del Lago (207-388),"$324,900"
Homesmart,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,377'}",11498 N San Clemente Street Toll At Prasada Phase 1 Unit B Sterling Grove,"$1,200,000"
Realty Executives Az Territory,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,145'}",13406 S Rockhouse Canyon Trl Mountain View Ranch (1-362),"$899,000"
RE/MAX Desert Showcase,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,352'}",11656 N San Clemente Street Sterling Grove,"$1,195,000"
Richmond American Homes Of Az,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,862'}",11787 E Arabelle Dr Mac 25,"$411,932"
Home Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,411'}",16641 W Loma Verde Trail Sun City Grand Rincon,"$1,100,000"
Mth Realty Llc,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,384'}",12520 E Caden Dr Hanson Ridge,"$394,230"
Realty One Group,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,064'}",15639 W Peak View Road Saguaro View,"$1,100,000"
Long Realty Company,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,627'}",702 S Harry P Stagg Dr New Tucson No.2 (1-201),"$329,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,766'}",14106 E Via Cerro Del Molino Del Webb At Rancho Del Lago Phase II Sq20112850077,"$449,000"
Long Realty Company,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,963'}",13964 E Stanhope Blvd Four Seasons Phase 1,"$419,000"
RE/MAX Fine Properties,"{'Beds': '5', 'Baths': '8', 'Sq.Ft.': '13,972'}",8035 W Expedition Way Casa De Sunrise,"$5,775,000"
Century 21 Northwest,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '6,063'}",24450 N 100th Lane Melton Ranch 1,"$3,899,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,483'}",30505 N Sage Drive Blackstone At Vistancia,"$3,200,000"
Homesmart,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,606'}",30556 N Sage Drive Blackstone At Vistancia,"$2,925,000"
Engel & Voelkers Scottsdale,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,925'}",9762 W Jj Ranch Road Melton Ranch 2,"$2,815,000"
RE/MAX Professionals,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,486'}",12071 W Palo Brea Lane Blackstone At Vistancia B2,"$2,800,000"
Homesmart,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '8,500'}",23523 N 79th Avenue Na,"$2,750,000"
RE/MAX Professionals,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '5,250'}",8360 W Park View Court Summit At Sunrise Mountain,"$2,700,000"
"W And Partners, Llc","{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,718'}",24295 N 99th Lane Melton Ranch 1,"$2,549,000"
RE/MAX Fine Properties,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,391'}",22735 N 91st Drive Meadows Parcels 1 And 3 Phase 2,"$2,045,000"
Property For You Realty,"{'Beds': '12', 'Baths': '11', 'Sq.Ft.': '3,880'}",8952 W Melinda Lane Deer Village Unit 1,"$1,905,000"
Epic Home Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,292'}",21906 N 86th Avenue Venado,"$1,899,999"
Realty Executives Arizona Territory,"{'Beds': '7', 'Baths': '4', 'Sq.Ft.': '5,148'}",2097 N Fsr 289 Tonto Creek Estates,"$4,200,000"
Realty Executives,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,720'}",3111 E Indian Ruin The Rim Golf Club,"$2,499,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '9', 'Baths': '9 F 1 1/2', 'Sq.Ft.': '8,504'}",4450 N 54th Street Royal Terrace Amd,"$10,000,000"
RE/MAX Fine Properties,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '5,934'}",2910 E Chuparosa Circle Chaparral Pines Phase 1,"$2,395,000"
Urban Luxe Real Estate,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '7,828'}",4743 N 54th Street Highlands,"$10,000,000"
Coldwell Banker Bishop Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,636'}",305 S Genius Loci The Rim Golf Club Phase 1,"$2,150,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,095'}",6836 N 36th Street Palm Canyon,"$8,950,000"
Delex Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,763'}",2403 E Grapevine Drive Chaparral Pines,"$2,000,000"
Realty One Group,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '7,610'}",5250 N 21st Street West Bartlett Estates Lot 9-24,"$8,250,000"
Long Realty Uptown,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,743'}",314 S Genius Loci Rim Golf Club Phase 1,"$1,995,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,100'}",4836 E White Gates Drive Red Rock,"$7,999,000"
Exp Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,379'}",4678 N Bear Flat Road Bear Flat,"$1,950,000"
North&co.,"{'Beds': '4', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,251'}",4931 E Calle Del Norte El Camello,"$7,250,000"
Grand Canyon Realty,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '4,803'}",2800 E Golden Rod Circle Chaparral Pines Phase 1,"$1,895,000"
Cambridge Properties,"{'Beds': '6', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '10,393'}",42 Biltmore Estates Drive Biltmore Estates,"$6,995,000"
Payson Homes And Lanc,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,048'}",2968 E Posey Court Unsubdivided,"$1,875,000"
Retsy,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,818'}",4220 N 57th Place Arcadia,"$6,975,000"
Era-Young Realty & Investment,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '4,182'}",3002 E Hanging Rock The Rim Golf Club Phase 1,"$1,799,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,307'}",4550 N Rubicon Avenue Arcadia Replatted Lot 1 Ex Sly 357' & Ex Rd Cor P/Dkt 3267/550 Blk I,"$6,950,000"
Integra Homes And Land,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,585'}",1010 N Scenic Drive Chaparral Pines Phase 1,"$1,795,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,992'}",5324 E Mariposa Street Royal Terrace Amd,"$6,000,000"
Integra Homes And Land,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,504'}",523 N Grapevine Drive Chaparral Pines Phase 2,"$1,795,000"
